id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8833419,15180,1481031,,7.1,100,0.0,8.5,51
8833439,15183,1481038,,10.5,96,0.9,13.5,53
8970694,15471,1495520,,15.7,87,72.5,36.0,63
8738605,15829,1463996,,14.5,97,1.2,2.3,61
8738618,15827,1463991,,12.8,93,88.6,12.1,63
8805177,,1469872,,8.6,94,0.1,19.4,51
8738623,15828,1463993,,8.7,97,10.8,10.9,63
8738610,15833,,,10.3,81,0.7,25.6,53
8805181,,1469858,,8.6,97,0.0,20.9,51
8805178,,1469915,,9.9,96,1.4,25.1,61
8833445,15182,1481035,,10.5,91,21.2,14.6,63
8953828,,1490924,,16.8,89,1.9,22.6,61
8805171,,1469889,,8.8,95,0.0,20.4,51
8953830,,1490912,,8.0,97,20.5,7.6,63
8966297,14841,1492304,,9.0,100,16.1,8.3,63
8966354,14838,,,19.2,82,13.6,30.2,63
8805189,,1469771,,9.9,96,1.4,25.1,61
8738606,15830,1463999,,17.4,91,8.7,16.9,63
8896891,14492,1485245,,9.6,91,5.0,19.8,63
8970418,15468,1495517,,19.0,74,0.0,19.6,0
8896875,14485,1485349,,8.9,95,2.2,18.4,61
8896892,14494,1485355,,7.0,98,0.2,18.7,51
8953850,,1490899,,8.0,97,20.5,7.6,63
8953843,,,,14.0,77,0.1,10.4,51
8833447,15184,1481034,,8.1,87,0.0,22.6,51
8896877,14488,1485237,,8.2,93,1.5,24.9,61
8896886,14487,1485236,,8.8,97,0.2,19.2,51
8966309,14839,,,10.7,57,0.0,18.3,0
9091889,,,,8.4,85,0.0,12.4,51
9091893,,,,9.4,98,0.0,14.4,3
9091895,,,,8.8,84,1.2,25.8,61
9091894,,,,8.8,88,1.2,7.5,61
9091892,,,,10.4,79,1.0,38.4,53
9091890,,,,4.7,99,0.1,22.5,51
9091891,,,,15.7,97,25.0,13.8,63
9091955,,,,15.2,63,0.0,19.5,0
9091920,,,,17.4,95,0.4,13.5,53
9091949,,,,16.2,80,0.0,11.3,2
9091943,,,,10.7,92,8.8,29.2,63
9091901,,,,10.4,96,0.0,6.6,51
9091942,,,,10.4,90,16.7,31.7,63
9091915,,,,6.8,93,1.3,21.0,61
9124338,,1490869,,14.5,90,0.1,11.7,51
9091900,,,,16.5,85,0.8,9.1,53
9092153,,,,9.4,98,3.1,7.5,63
9092166,,,,10.5,83,0.0,7.9,2
9092157,,,,12.0,95,1.3,29.4,61
9092150,,,,17.5,86,0.1,26.7,51
9092145,,,,4.3,94,0.0,15.9,51
9092158,,,,4.0,90,0.1,8.1,51
9092155,,,,14.9,77,0.0,2.5,2
9092165,,,,11.4,91,11.8,7.5,63
9092159,,,,12.9,94,0.7,34.4,53
9092149,,,,1.5,94,0.0,13.7,3
9092156,,,,12.8,95,3.2,38.0,63
9092144,,,,6.1,98,6.5,10.1,63
9092154,,,,9.7,38,0.0,12.1,0
9092146,,,,17.0,82,0.0,12.2,51
9092148,,,,7.4,84,0.0,16.8,2
9092163,,,,12.0,97,13.4,30.6,63
9092152,,,,17.3,83,0.0,8.8,2
9092147,,,,15.4,60,0.0,7.5,0
9092164,,,,14.2,84,0.0,10.3,2
9092151,,,,21.3,73,0.2,7.7,53
9092162,,,,12.7,95,5.9,41.0,63
9092143,,,,11.2,96,1.6,28.7,61
8833435,15185,1481072,,12.6,94,1.9,22.4,61
8953841,,1490921,,10.7,100,0.0,6.5,3
8966345,14849,,,10.0,91,0.0,10.3,3
8896874,14504,1485437,,10.9,100,1.1,8.2,61
8805180,,1469956,,12.5,89,4.9,28.4,63
